date,highest_board,leaders
2026-01-05,0,
2026-01-06,0,
2026-01-07,0,
2026-01-08,0,
2026-01-09,0,
2026-01-12,0,
2026-01-13,0,
2026-01-14,0,
2026-01-15,0,
2026-01-16,0,
2026-01-19,0,
2026-01-20,0,
2026-01-21,0,
2026-01-22,0,
2026-01-23,0,
2026-01-26,0,
2026-01-27,0,
2026-01-28,0,
2026-01-29,0,
2026-01-30,0,
2026-02-02,0,
2026-02-03,0,
2026-02-04,0,
2026-02-05,0,
2026-02-06,0,
2026-02-09,0,
2026-02-10,0,
2026-02-11,0,
2026-02-12,0,
2026-02-13,0,
2026-02-24,0,
2026-02-25,0,
2026-02-26,0,
2026-02-27,0,
2026-03-02,0,
2026-03-03,0,
2026-03-04,0,
2026-03-05,0,
2026-03-06,0,
2026-03-09,4,王力安防(605268)、顺钠股份(000533)
2026-03-10,5,王力安防(605268)
2026-03-11,4,宁波建工(601789)
2026-03-12,4,中南文化(002445)
2026-03-13,5,中南文化(002445)
2026-03-16,3,三房巷(600370)、法尔胜(000890)
2026-03-17,4,三房巷(600370)、法尔胜(000890)
2026-03-18,5,三房巷(600370)
2026-03-19,4,深华发Ａ(000020)、华电辽能(600396)
2026-03-20,5,深华发Ａ(000020)、华电辽能(600396)
2026-03-23,6,华电辽能(600396)
2026-03-24,7,华电辽能(600396)
2026-03-25,8,华电辽能(600396)
2026-03-26,3,新能泰山(000720)、湖南发展(000722)、美诺华(603538)、融捷股份(002192)
2026-03-27,4,新能泰山(000720)、美诺华(603538)、融捷股份(002192)
2026-03-30,5,美诺华(603538)
2026-03-31,4,神剑股份(002361)
2026-04-01,4,津药药业(600488)
2026-04-02,5,津药药业(600488)
2026-04-03,6,津药药业(600488)
2026-04-07,7,津药药业(600488)
2026-04-08,4,汇源通信(000586)
2026-04-09,5,汇源通信(000586)
2026-04-10,4,华远控股(600743)
2026-04-13,5,华远控股(600743)
2026-04-14,6,华远控股(600743)
2026-04-15,5,圣阳股份(002580)
2026-04-16,6,圣阳股份(002580)
2026-04-17,7,圣阳股份(002580)
2026-04-20,6,博云新材(002297)
2026-04-21,4,株冶集团(600961)
2026-04-22,4,金 螳 螂(002081)、金富科技(003018)
2026-04-23,5,金 螳 螂(002081)
2026-04-24,3,水发燃气(603318)、泰慕士(001234)
2026-04-27,4,水发燃气(603318)
2026-04-28,5,水发燃气(603318)
2026-04-29,3,飞马国际(002210)、越剑智能(603095)
2026-04-30,4,越剑智能(603095)
2026-05-06,4,永杉锂业(603399)、宝光股份(600379)、金 螳 螂(002081)
2026-05-07,5,金 螳 螂(002081)
2026-05-08,4,福达合金(603045)
2026-05-11,5,福达合金(603045)
2026-05-13,6,大唐发电(601991)
2026-05-14,5,蒙娜丽莎(002918)
2026-05-15,6,蒙娜丽莎(002918)
2026-05-18,6,利仁科技(001259)
2026-05-19,7,利仁科技(001259)
2026-05-20,8,利仁科技(001259)
2026-05-21,7,威龙股份(603779)
2026-05-22,3,金利华电(300069)、大众交通(600611)、四环生物(000518)、龙星科技(002442)
2026-05-25,4,四环生物(000518)
2026-05-27,3,香江控股(600162)、华塑控股(000509)、华电能源(600726)
2026-05-28,4,华电能源(600726)、华塑控股(000509)、香江控股(600162)
2026-05-29,5,香江控股(600162)、华电能源(600726)
2026-06-01,4,粤电力Ａ(000539)、合锻智能(603011)
2026-06-02,3,春秋电子(603890)、中央商场(600280)
2026-06-03,3,天洋新材(603330)、红星发展(600367)、节能铁汉(300197)、大有能源(600403)、郑州煤电(600121)
2026-06-04,4,大有能源(600403)、XD红星发(600367)、天洋新材(603330)
2026-06-05,5,大有能源(600403)
2026-06-08,6,大有能源(600403)
2026-06-09,3,天娱数科(002354)、泰和新材(002254)
2026-06-10,4,天娱数科(002354)
2026-06-11,3,和远气体(002971)、中化国际(600500)、XD宿迁联(603065)、京基智农(000048)
2026-06-12,4,宿迁联盛(603065)、和远气体(002971)
